# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
2	exact solution	single domain loss		PF10198
2	exact solution	single domain loss		PF10215
2	exact solution	single domain loss		PF10283
2	exact solution	single domain loss		PF10471
2	exact solution	single domain loss		PF10501
2	exact solution	single domain loss		PF10521
2	exact solution	single domain loss		PF10639
2	exact solution	single domain loss		PF11326
2	exact solution	single domain loss		PF11571
2	exact solution	single domain loss		PF11789
2	exact solution	single domain loss		PF12330
2	exact solution	single domain loss		PF12597
2	exact solution	single domain loss		PF12705
2	exact solution	single domain loss		PF12861
2	exact solution	single domain loss		PF13233
2	exact solution	single domain loss		PF13302
2	exact solution	single domain loss		PF14469
2	exact solution	single domain loss		PF14726
2	exact solution	single domain loss		PF14800
2	exact solution	single domain loss		PF14880
2	exact solution	single domain loss		PF14886
2	exact solution	single domain loss		PF14892
2	exact solution	single domain loss		PF14895
2	exact solution	single domain loss		PF14943
2	exact solution	single domain loss		PF14959
2	exact solution	single domain loss		PF14960
2	exact solution	single domain loss		PF14978
2	exact solution	single domain loss		PF14990
2	exact solution	single domain loss		PF15038
2	exact solution	single domain loss		PF15054
2	exact solution	single domain loss		PF15061
2	exact solution	single domain loss		PF15114
2	exact solution	single domain loss		PF15309
2	exact solution	single domain loss		PF15311
2	exact solution	single domain loss		PF15328
2	exact solution	single domain loss		PF15749
2	exact solution	single domain loss		PF15813
2	exact solution	single domain loss		PF15862
2	exact solution	single domain loss		PF15880
2	exact solution	single domain loss		PF15884
2	exact solution	single domain loss		PF15911
2	exact solution	single domain loss		PF15963
2	exact solution	single domain loss		PF16021
2	exact solution	single domain loss		PF16088
2	exact solution	single domain loss		PF16093
2	exact solution	single domain loss		PF17054
2	exact solution	terminal emergence	PF00355 PF04305	PF00355 
2	exact solution	terminal emergence	PF00359 PF00955	 PF00955
2	exact solution	terminal emergence	PF01406 PF09190	PF01406 
2	exact solution	terminal emergence	PF13207 PF05186	 PF05186
2	exact solution	terminal emergence	PF13384 PF01498	 PF01498
2	exact solution	terminal loss	PF00004 PF16193	PF00004 PF16193 PF12002
2	exact solution	terminal loss	PF00014 PF01759	PF00095 PF07679 PF00014 PF01759
2	exact solution	terminal loss	PF00058 PF00057	PF00058 PF14670 PF00058 PF14670 PF00058 PF14670 PF00058 PF00057
2	exact solution	terminal loss	PF00163	PF00163 PF01479
2	exact solution	terminal loss	PF00173 PF00174	PF00173 PF00174 PF03404
2	exact solution	terminal loss	PF00176 PF00271 PF06465 PF06461 PF08074	PF08073 PF00628 PF00385 PF00176 PF00271 PF06465 PF06461 PF08074
2	exact solution	terminal loss	PF00330	PF00330 PF00694
2	exact solution	terminal loss	PF00373 PF09380 PF00102	PF09379 PF00373 PF09380 PF00102
2	exact solution	terminal loss	PF00373 PF09380 PF00595 PF00102	PF09379 PF00373 PF09380 PF00595 PF00102
